Unnamed: 0,seed,n_exp,n_sim,num_weeks,num_agents,capacity,threshold,contagious_threshold,contagious_duration,SIR_AgentsRecoveryTime,people_memory_weight,contagious_thresholdNotPresent,num_contagious_agents,contagiousness,capacity_pct,mean_attendance,mean_contagious,mean_present_contagious,std_attendance,std_contagious,std_present_contagious
3126,25619933,sett24_4,3126,6,3500,1750,0.75,0.5,5,10,0.95,0.8,700,0.06,0.5,1750.0,466.6666666666667,335.6666666666667,0.0,329.98316455372213,237.3806132681343
3127,90514054,sett24_4,3127,9,2000,1000,0.85,0.35,3,0,0.6,0.95,400,0.24,0.5,993.6,58.8,34.0,12.8,88.99752805555893,51.291324802543365
3128,23658564,sett24_4,3128,7,2500,2500,0.9,0.5,6,5,0.4,0.95,500,0.28,1.0,2230.0,375.0,334.5,29.45335295004628,216.50635094610965,193.13531525849953
3129,5424927,sett24_4,3129,4,1500,1500,0.75,0.8,3,4,0.95,0.35,300,0.02,1.0,1127.3333333333333,200.0,150.0,20.949675149960893,141.4213562373095,106.59580979882216
3130,75058457,sett24_4,3130,6,3500,3500,0.7,0.95,5,10,0.45,0.15,700,0.48,1.0,2635.0,466.6666666666667,418.0,203.98202535190856,329.98316455372213,295.859200747022
3131,13729667,sett24_4,3131,6,3000,1500,0.7,0.55,5,2,0.05,0.95,600,0.24,0.5,1335.6666666666667,400.0,167.33333333333334,232.4024287499786,282.842712474619,125.43612805815646
3132,56253096,sett24_4,3132,200,2500,2500,0.6,0.35,4,7,0.5,0.45,500,0.44,1.0,1453.82,882.81,664.93,16.262459838536113,405.38635139826795,410.5371178103144
3133,96937419,sett24_4,3133,38,3000,3000,0.65,0.05,10,0,0.45,0.1,600,0.42,1.0,2182.1052631578946,242.94736842105263,53.73684210526316,137.02435232539472,235.35090792579464,149.9873124828136
3134,13599858,sett24_4,3134,11,4000,4000,0.05,0.15,10,7,0.55,0.85,800,0.02,1.0,0.0,666.6666666666666,0.0,0.0,298.14239699997194,0.0
3135,72186897,sett24_4,3135,4,3000,3000,0.65,0.4,3,9,0.95,0.1,600,0.38,1.0,1863.6666666666667,400.0,134.0,162.22275494585284,282.842712474619,189.50461735799473
3136,50785416,sett24_4,3136,5,2000,2000,0.85,0.95,4,9,0.45,0.25,400,0.08,1.0,1855.0,266.6666666666667,262.3333333333333,109.2367459542194,188.56180831641268,185.55202924127656
3137,16784918,sett24_4,3137,6,1000,1000,0.1,0.55,5,0,0.7,0.95,200,0.2,1.0,0.3333333333333333,133.33333333333334,0.0,0.4714045207910317,94.28090415820634,0.0
3138,13388537,sett24_4,3138,6,1000,500,0.8,0.9,5,9,0.75,0.2,200,0.24,0.5,500.0,133.33333333333334,127.66666666666669,0.0,94.28090415820634,90.28227339233814
3139,6445018,sett24_4,3139,5,2500,1250,0.8,0.8,4,4,0.75,0.05,500,0.12,0.5,1250.0,333.3333333333333,163.0,0.0,235.70226039551585,230.5168106668145
3140,39589162,sett24_4,3140,4,4000,4000,0.75,0.15,1,10,0.5,0.95,800,0.42,1.0,2854.3333333333335,0.0,0.0,33.82635395992631,0.0,0.0
3141,79931013,sett24_4,3141,6,2500,1250,0.35,0.7,5,8,0.2,0.6,500,0.16,0.5,269.6666666666667,333.3333333333333,38.0,25.090945688745084,235.70226039551585,27.65260686927485
3142,20429925,sett24_4,3142,7,4000,2000,0.85,0.7,6,9,0.7,0.75,800,0.5,0.5,2000.0,600.0,387.5,0.0,346.41016151377545,225.41794515965228
3143,94548157,sett24_4,3143,4,3500,3500,0.1,0.9,1,1,0.4,0.7,700,0.02,1.0,20.333333333333332,0.0,0.0,16.21384867602041,0.0,0.0
3144,99997907,sett24_4,3144,8,3500,3500,0.55,0.15,7,9,0.75,0.15,700,0.38,1.0,1671.75,525.0,216.5,140.029238018351,303.10889132455355,216.57389039309425
3145,35531346,sett24_4,3145,11,1000,1000,0.9,0.75,10,5,0.65,0.05,200,0.16,1.0,866.6666666666666,166.66666666666666,33.333333333333336,94.28090415820634,74.53559924999298,74.53559924999298
